#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-07T16:50:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8cae845526	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/ApJ/834/17&tab:{J/ApJ/834/17/table1}&key:source=J/ApJ/834/17&HTTPPRM:&&-ref=VIZ5e8cae845526&-out.max=unlimited&-out.form=ascii table&-order=I&-oc.form=sexa&-out.src=J/ApJ/834/17/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Name&-out=Mass&-out=e_Mass&-out=x_Mass&-out=Rad&-out=e_Rad&-out=x_Rad&-out=Ref&-out=SimbadName&-out=_RA&-out=_DE&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/ApJ/834/17/table1
#-source=J/ApJ/834/17/table1
#-out=Name
#-out=Mass
#-out=e_Mass
#-out=x_Mass
#-out=Rad
#-out=e_Rad
#-out=x_Rad
#-out=Ref
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_18340017
#Name: J/ApJ/834/17
#Title: Mass & radius of planets, moons, low mass stars (Chen+, 2017)
#Table	J_ApJ_834_17_table1:
#Name: J/ApJ/834/17/table1
#Title: Masses and radii used for this study
#Column	Name	(a21)	Object Name	[ucd=meta.id;meta.main]
#Column	Mass	(F10.6)	[0.0003/318] Mass	[ucd=phys.mass]
#Column	e_Mass	(F7.4)	[0.0008/5]? Uncertainty in Mass	[ucd=stat.error;phys.mass]
#Column	x_Mass	(A4)	Units for Mass (Mjup or Msun)	[ucd=meta.unit;phys.mass]
#Column	Rad	(F7.4)	[0.1/12] Radius	[ucd=phys.size.radius]
#Column	e_Rad	(F7.4)	[0.001/0.4]? Uncertainty in Rad	[ucd=stat.error]
#Column	x_Rad	(A4)	Units for Radius (Rsun, Rjup or Rgeo)	[ucd=meta.unit]
#Column	Ref	(A19)	Reference (1)	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Mass	e_Mass	x_Mass	Rad	e_Rad	x_Rad	Ref	SimbadName	_RAdeg	_DEdeg
NGC6791 KR V20       	  0.827000	 0.0040	Msun	 0.7680	 0.0060	Rsun	2010A&ARv..18...67T	Cl* NGC 6791 KR V20     	290.23888	+37.76017
HD 124784            	  0.854000	 0.0030	Msun	 0.8300	 0.0040	Rsun	2010A&ARv..18...67T	HD 124784               	214.24131	-49.94510
Parenago 1478        	  0.727000	 0.0100	Msun	 1.0630	 0.0110	Rsun	2010A&ARv..18...67T	Parenago 1478           	083.61604	-05.69383
HD 7700              	  0.764000	 0.0040	Msun	 0.8350	 0.0180	Rsun	2010A&ARv..18...67T	HD 7700                 	019.22966	+06.81170
BD+34 4217           	  0.814000	 0.0130	Msun	 0.8380	 0.0110	Rsun	2010A&ARv..18...67T	BD+34 4217              	314.55605	+35.17490
TYC 3629-740-1       	  0.869000	 0.0040	Msun	 0.9640	 0.0040	Rsun	2010A&ARv..18...67T	TYC 3629-740-1          	341.23793	+49.65764
GU Boo A             	  0.610000	 0.0060	Msun	 0.6270	 0.0160	Rsun	2010A&ARv..18...67T	GU Boo                  	230.47846	+33.93578
GU Boo B             	  0.600000	 0.0060	Msun	 0.6240	 0.0160	Rsun	2010A&ARv..18...67T	GU Boo                  	230.47846	+33.93578
YY Gem A             	  0.599000	 0.0050	Msun	 0.6190	 0.0060	Rsun	2010A&ARv..18...67T	YY Gem                  	113.65660	+31.86974
YY Gem B             	  0.599000	 0.0050	Msun	 0.6190	 0.0060	Rsun	2010A&ARv..18...67T	YY Gem                  	113.65660	+31.86974
CU Cnc A             	  0.435000	 0.0010	Msun	 0.4320	 0.0060	Rsun	2010A&ARv..18...67T	CU Cnc                  	127.90652	+19.39428
CU Cnc B             	  0.399000	 0.0010	Msun	 0.3920	 0.0090	Rsun	2010A&ARv..18...67T	CU Cnc                  	127.90652	+19.39428
CM Dra A             	  0.231000	 0.0010	Msun	 0.2530	 0.0020	Rsun	2010A&ARv..18...67T	CM Dra                  	248.58504	+57.16220
CM Dra B             	  0.214000	 0.0010	Msun	 0.2400	 0.0020	Rsun	2010A&ARv..18...67T	CM Dra                  	248.58504	+57.16220
MOTESS-GNAT 78457 A  	  0.527000	 0.0020	Msun	 0.5050	 0.0110	Rsun	2011ApJ...728...48K	MOTESS-GNAT 78457       	051.58636	+03.21008
MOTESS-GNAT 78457 B  	  0.491000	 0.0010	Msun	 0.4710	 0.0110	Rsun	2011ApJ...728...48K	MOTESS-GNAT 78457       	051.58636	+03.21008
MOTESS-GNAT 116309 A 	  0.567000	 0.0020	Msun	 0.5520	 0.0140	Rsun	2011ApJ...728...48K	MOTESS-GNAT 116309      	072.04013	+03.29669
